,Title,Section,URL,Act_Name,Date,Document Num,CompleteAct_URL,CompleteAct_DocNum,Headline
0,"The Reserve Bank Of India (Amendment And Miscellaneous Provisions) Act,   1953",,https://indiankanoon.org/docfragment/1612160/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1953%20todate%3A%2031-12-1953%20sortby%3A%20mostrecent,The Reserve Bank Of India Act,1953,1612160,,,"
    Central Government Act  The Reserve Bank Of India (Amendment And Miscellaneous Provisions) Act,   1953 
  THE RESERVE BANK OF INDIA (AMENDMENT ... called the Reserve Bank of India (Amendment and Miscellaneous Provisions) Act,  1953 . 2 to Amendments to the Reserve Bank 
  "
1,"Section 9 in The Reserve Bank Of India (Amendment And Miscellaneous Provisions) Act,   1953",Section 9,https://indiankanoon.org/doc/1283412/,The Reserve Bank Of India Act,1953,1283412,https://indiankanoon.org/doc/1612160/,1612160,"
    Section 9 in The Reserve Bank Of India (Amendment And Miscellaneous Provisions) Act,   1953   9.  Ordinance 
  "
2,"Section 1 in The Reserve Bank Of India (Amendment And Miscellaneous Provisions) Act,   1953",Section 1,https://indiankanoon.org/doc/19727/,The Reserve Bank Of India Act,1953,19727,https://indiankanoon.org/doc/1612160/,1612160,"
    Section 1 in The Reserve Bank Of India (Amendment And Miscellaneous Provisions) Act,   1953   1.  Short title.- This ... called the Reserve Bank of India (Amendment and Miscellaneous Provisions) Act,  1953 . 2 to Amendments to the Reserve Bank 
  "
3,"The Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956",,https://indiankanoon.org/docfragment/1192190/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1956%20todate%3A%2031-12-1956%20sortby%3A%20mostrecent,The Scheduled Castes And Scheduled Tribes Orders Act,1956,1192190,,,"
    Government Act  The Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956 
  THE SCHEDULED CASTES AND SCHEDULED TRIBES ORDERS (AMENDMENT ... called the Scheduled Castes and Scheduled Tribes Orders (Amendment) Act,  1956 . 



   2.   Definitions. In this Act,--   (a)  "" article"" means 
  "
4,"The Banking Companies (Amendment) Act,   1956",,https://indiankanoon.org/docfragment/444965/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1956%20todate%3A%2031-12-1956%20sortby%3A%20mostrecent,The Banking Companies Act,1956,444965,,,"
    Central Government Act  The Banking Companies (Amendment) Act,   1956 
  THE BANKING COMPANIES (AMENDMENT ... This Act may be called the Banking Companies (Amendment) Act,  1956 .     (2)   It shall come into force on such date 
  "
5,"The Code Of Civil Procedure (Amendment) Act,   1956",,https://indiankanoon.org/docfragment/327628/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1956%20todate%3A%2031-12-1956%20sortby%3A%20mostrecent,The Code Of Civil Procedure Act,1956,327628,,,"
    Central Government Act  The Code Of Civil Procedure (Amendment) Act,   1956 
  THE CODE OF CIVIL PROCEDURE (AMENDMENT ... called the Code of Civil Procedure (Amendment) Act,  1956 .     (2)   It shall come into force on such   1   date 
  "
6,"Section 14 in The Banking Companies (Amendment) Act,   1956",Section 14,https://indiankanoon.org/doc/1085624/,The Banking Companies Act,1956,1085624,https://indiankanoon.org/doc/444965/,444965,"
    Central Government Act  Section 14 in The Banking Companies (Amendment) Act,   1956   14.  Other miscellaneous amendments.- The principal Act shall 
  "
7,"Section 1 in The Banking Companies (Amendment) Act,   1956",Section 1,https://indiankanoon.org/doc/794536/,The Banking Companies Act,1956,794536,https://indiankanoon.org/doc/444965/,444965,"
    Central Government Act  Section 1 in The Banking Companies (Amendment) Act,   1956   1.  Short title and commencement.-   (1)   This ... called the Banking Companies (Amendment) Act,  1956 .     (2)   It shall come into force on such date   2   as the Central 
  "
8,"Section 7 in The Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956",Section 7,https://indiankanoon.org/doc/866596/,The Scheduled Castes And Scheduled Tribes Orders Act,1956,866596,https://indiankanoon.org/doc/1192190/,1192190,"
    Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956   7.  Power to make rules.   1     (1)   ] The Central Government 
  "
9,"Section 6 in The Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956",Section 6,https://indiankanoon.org/doc/515774/,The Scheduled Castes And Scheduled Tribes Orders Act,1956,515774,https://indiankanoon.org/doc/1192190/,1192190,"
    Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956   6.  Amendment of orders of the former Delimitation Commission. In addition 
  "
10,"Section 5 in The Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956",Section 5,https://indiankanoon.org/doc/1534967/,The Scheduled Castes And Scheduled Tribes Orders Act,1956,1534967,https://indiankanoon.org/doc/1192190/,1192190,"
    Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956   5.  Determination of population of Scheduled Castes and Scheduled Tribes 
  "
11,"Section 4 in The Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956",Section 4,https://indiankanoon.org/doc/1377679/,The Scheduled Castes And Scheduled Tribes Orders Act,1956,1377679,https://indiankanoon.org/doc/1192190/,1192190,"
    Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956   4.  Amendment of Scheduled Tribes Orders.   (1)   The Schedule 
  "
12,"Section 3 in The Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956",Section 3,https://indiankanoon.org/doc/1791875/,The Scheduled Castes And Scheduled Tribes Orders Act,1956,1791875,https://indiankanoon.org/doc/1192190/,1192190,"
    Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956   3.  Amendment of Scheduled Castes Orders.   (1)   The Constitution (Scheduled Castes 
  "
13,"Section 2 in The Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956",Section 2,https://indiankanoon.org/doc/1589940/,The Scheduled Castes And Scheduled Tribes Orders Act,1956,1589940,https://indiankanoon.org/doc/1192190/,1192190,"
    Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956   2.  Definitions. In this Act,--   (a)  "" article"" means an article 
  "
14,"Section 1 in The Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956",Section 1,https://indiankanoon.org/doc/219439/,The Scheduled Castes And Scheduled Tribes Orders Act,1956,219439,https://indiankanoon.org/doc/1192190/,1192190,"
    Scheduled Castes And Scheduled Tribes Orders (Amendment) Act,   1956   1.  Short title. This Act may be called the Scheduled Castes ... Scheduled Tribes Orders (Amendment
"
15,"Section 16 in The Code Of Civil Procedure (Amendment) Act,   1956",Section 16,https://indiankanoon.org/doc/1798958/,The Code Of Civil Procedure Act,1956,1798958,https://indiankanoon.org/doc/327628/,327628,"
    Section 16 in The Code Of Civil Procedure (Amendment) Act,   1956   16.  Savings in respect of execution of certain decrees 
  "
16,"Section 1 in The Code Of Civil Procedure (Amendment) Act,   1956",Section 1,https://indiankanoon.org/doc/721942/,The Code Of Civil Procedure Act,1956,721942,https://indiankanoon.org/doc/327628/,327628,"
    Section 1 in The Code Of Civil Procedure (Amendment) Act,   1956   1.  Short title and commencement.-   (1)   This ... called the Code of Civil Procedure (Amendment) Act,  1956 .     (2)   It shall come into force on such   1   date 
  "
17,"Section 1(2) in The Code Of Civil Procedure (Amendment) Act,   1956",Section 1(2),https://indiankanoon.org/doc/721654/,The Code Of Civil Procedure (Amendment) Act,1956,721654,https://indiankanoon.org/doc/327628/,327628,"
    Section 1(2) in The Code Of Civil Procedure (Amendment) Act,   1956   (2)  It shall come into force on such 
  "
18,"Section 1(1) in The Code Of Civil Procedure (Amendment) Act,   1956",Section 1(1),https://indiankanoon.org/doc/712113/,The Code Of Civil Procedure (Amendment) Act,1956,712113,https://indiankanoon.org/doc/327628/,327628,"
    Section 1(1) in The Code Of Civil Procedure (Amendment) Act,   1956   (1)  This Act may be called the Code ... Civil Procedure (Amendment
"
19,"The Criminal Law Amendment Act,   1961",,https://indiankanoon.org/docfragment/258943/?formInput=title%3A%20%28Amendment%29%20%20doctypes%3A%20judgments%2Claws%20fromdate%3A%201-1-1961%20todate%3A%2031-12-1961%20sortby%3A%20mostrecent,TheCriminalLawAmendmentAct,1961,258943,,,"
    Central Government Act  The Criminal Law Amendment Act,   1961 
  THE CRIMINAL LAW AMENDMENT ... extent. This Act may be called the Criminal Law Amendment Act,  1961 .     (2)   It extends to the whole of India 
  "
